index,strategy,open_long,close_long,open_short,close_short,ann_ret,ann_vol,sharpe,max_drawdown,calmar,daily_win_rate,trade_win_rate,n_trades,trade_segments,long_days,flat_days,short_days,total_return
中证1000,四阈值单指数最优,0.45,0.35,-0.65,-0.3,0.283378121681487,0.17366270389884408,1.6317730596118698,-0.1675317464278584,1.6914890922092414,0.2520491803278688,0.7784431137724551,335,167,1073,2168,663,52.28413030442519
中证1000,买入持有,,,,,0.04988361777755035,0.2660550490029676,0.1874935956467939,-0.7234872372733578,0.06894885660395228,0.5448258196721312,,1,1,3904,0,0,1.1720904123980218
中证500,四阈值单指数最优,0.45,0.35,-0.65,-0.3,0.2499147933894763,0.15952041464125602,1.566663388830247,-0.16643003077382879,1.5016207845872462,0.24871926229508196,0.7604790419161677,335,167,1073,2168,663,33.97515495232218
中证500,买入持有,,,,,0.049877573851649704,0.2473789684496722,0.20162414842390697,-0.6519574332360292,0.07650434109490772,0.532530737704918,,1,1,3904,0,0,1.1718911703826262
沪深300,四阈值单指数最优,0.4,0.35,-0.65,0.2,0.15935081990126498,0.14489340319052382,1.0997796752122024,-0.20328124892850763,0.7838933533771596,0.28253073770491804,0.6951871657754011,368,187,1138,1841,925,9.549803035557039
沪深300,买入持有,,,,,0.03682743301391311,0.21217651226300932,0.17356979159061037,-0.4669613510228616,0.07886612657181152,0.5099897540983607,,1,1,3904,0,0,0.7794178500859537
中证1000,四阈值统一阈值,0.45,0.35,-0.65,0.2,0.2944932667957285,0.1843480185330155,1.5974853927870494,-0.19700261423150767,1.4948698419283648,0.2843237704918033,0.7407407407407407,322,162,1073,1906,925,60.13303120334608
中证500,四阈值统一阈值,0.45,0.35,-0.65,0.2,0.26432940873230515,0.16908193885315012,1.5633213726149586,-0.17961594156760785,1.4716366845022548,0.28304303278688525,0.7345679012345679,322,162,1073,1906,925,40.986699899205504
沪深300,四阈值统一阈值,0.45,0.35,-0.65,0.2,0.15466370903148663,0.142227788185698,1.087436646554271,-0.23726091395471116,0.6518718420726017,0.27535860655737704,0.6975308641975309,322,162,1073,1906,925,8.890301511982758
