universe,form,k,kou_jing,ic,n_windows,ic_2014-2019,ic_2020-2026
U2,lb5sm0,3,500,-0.048329163707225384,1058,0.0001250900253380028,-0.09086999346210158
U2,lb5sm0,3,1000,-0.04377737823578942,1058,0.011937785790188706,-0.08599257360504282
U2,lb5sm0,3,blend,-0.04732181247813777,1058,0.007145092377529177,-0.08730241815002472
U2,lb5sm0,5,500,-0.04151910220186849,634,0.0012802594607229645,-0.12914721061685916
U2,lb5sm0,5,1000,-0.03486526635767999,634,0.02344837325723525,-0.12630883188564146
U2,lb5sm0,5,blend,-0.040205333969655484,634,0.012976444979035693,-0.1307935720289966
U2,lb5sm0,10,500,-0.08048632542503086,316,0.05628641158872617,-0.06196835833162112
U2,lb5sm0,10,1000,-0.08732941245819098,316,0.08015666824122185,-0.05474229899954165
U2,lb5sm0,10,blend,-0.08411589209416946,316,0.06677688552983782,-0.054027911681497044
U2,lb5sm0,20,500,-0.09647479828081296,157,-0.08013377066049265,0.024475524475524472
U2,lb5sm0,20,1000,-0.04260755772486806,157,-0.018071901730014793,-0.008333771491666227
U2,lb5sm0,20,blend,-0.07172582315692853,157,-0.0513537848093125,-0.0015510804984489195
U2,lb5sm3,3,500,-0.0196604681422058,1058,0.0035131180371920493,-0.10934203107020045
U2,lb5sm3,3,1000,-0.016845810296225713,1058,0.018471557811331828,-0.09222974883028323
U2,lb5sm3,3,blend,-0.018934005134546707,1058,0.011742462494810426,-0.09923219538334112
U2,lb5sm3,5,500,-0.012572597172643623,634,0.03924538225167885,-0.07949417140316796
U2,lb5sm3,5,1000,-0.009760521005635429,634,0.054849548816892225,-0.08115227297274873
U2,lb5sm3,5,blend,-0.011988700180548954,634,0.04756536433096826,-0.08315710052548944
U2,lb5sm3,10,500,-0.026876439191257706,316,-0.041792631081719406,-0.13069178612634538
U2,lb5sm3,10,1000,-0.056046837534678456,316,-0.036454888993859236,-0.09020246242354314
U2,lb5sm3,10,blend,-0.043039495876616034,316,-0.043772634230829784,-0.11077428837856204
U2,lb5sm3,20,500,-0.03882745489614795,157,-0.1239307994083221,-0.0696408854303591
U2,lb5sm3,20,1000,-0.018578011523266703,157,-0.08524663965528333,-0.06293706293706293
U2,lb5sm3,20,blend,-0.03071217261332556,157,-0.11110039230818705,-0.07631841842368157
U2,lb10sm0,3,500,0.026134005918194102,1058,0.01701421745799614,-0.02360798714095873
U2,lb10sm0,3,1000,0.040527489193406104,1058,0.03718997102150343,-0.0023536098778803786
U2,lb10sm0,3,blend,0.03370620924254515,1058,0.02895034092226673,-0.012785726880258145
U2,lb10sm0,5,500,0.018987365763429007,634,0.054531066623163496,0.03370794871273087
U2,lb10sm0,5,1000,0.03470234189557886,634,0.06955719287651754,0.04863281953186513
U2,lb10sm0,5,blend,0.027368595329534905,634,0.06302782092924729,0.04074304239136049
U2,lb10sm0,10,500,0.11019712760718232,316,0.054389072586994165,0.11489623998356277
U2,lb10sm0,10,1000,0.12197458466675415,316,0.025543221539914972,0.1810940241184745
U2,lb10sm0,10,blend,0.11799438299458266,316,0.03612029601637537,0.14876325646820815
U2,lb10sm0,20,500,0.1567703843362958,157,0.07010097112354492,0.14761554235238444
U2,lb10sm0,20,1000,0.20115790844646766,157,0.056370184577786364,0.2276144907723855
U2,lb10sm0,20,blend,0.1826481186313485,157,0.06276930992346776,0.1983542773016457
U2,lb10sm3,3,500,0.03577806528548129,1058,0.02269282668964001,-0.0067917306070447905
U2,lb10sm3,3,1000,0.04967169292996504,1058,0.03532016604973596,0.01857135595207957
U2,lb10sm3,3,blend,0.043435626373373615,1058,0.03042700581440048,0.006188774309297119
U2,lb10sm3,5,500,0.049395827862732354,634,0.021146925478088524,0.056113647854760154
U2,lb10sm3,5,1000,0.06368058591617322,634,0.03406931613983998,0.06927436434874215
U2,lb10sm3,5,blend,0.05786487742412329,634,0.028191517854968862,0.06244354940962661
U2,lb10sm3,10,500,0.12885037735095636,316,0.011301369863013697,0.1029033838567432
U2,lb10sm3,10,1000,0.13876323200285987,316,-0.005959691387183119,0.15751924262300263
U2,lb10sm3,10,blend,0.1345012293141511,316,-0.00252322468902535,0.12869403044048616
U2,lb10sm3,20,500,0.20690093587779632,157,0.08412116534825394,0.14514432935485566
U2,lb10sm3,20,1000,0.22448973263292377,157,0.08145218342015564,0.22309269677690727
U2,lb10sm3,20,blend,0.21953125484529173,157,0.08344588076403628,0.19438456280561542
U2,lb20sm0,3,500,0.09715564217393896,1058,0.1005073418702081,0.08463583805137409
U2,lb20sm0,3,1000,0.11221488599806817,1058,0.13237901280281866,0.10406717006974596
U2,lb20sm0,3,blend,0.10566011560995671,1058,0.1188526668071332,0.09553636183820136
U2,lb20sm0,5,500,0.12258277963736845,634,0.1423610536209088,0.09542673906952208
U2,lb20sm0,5,1000,0.1388437094369678,634,0.1658814993011897,0.10280386266833427
U2,lb20sm0,5,blend,0.1314594324230541,634,0.15490409011000786,0.09878912016129408
U2,lb20sm0,10,500,0.17065434905462853,316,0.1755077940481814,0.16226707338275037
U2,lb20sm0,10,1000,0.17724415994744042,316,0.1728113682884585,0.18129632849172606
U2,lb20sm0,10,blend,0.17574730539561056,316,0.17174460714848053,0.1753473155157971
U2,lb20sm0,20,500,0.19195107883328474,157,0.3275130233455529,0.15442452284557545
U2,lb20sm0,20,1000,0.19346746134620038,157,0.30728664222779606,0.19188706030811295
U2,lb20sm0,20,blend,0.1954365879222769,157,0.32799536947713687,0.18689205531310796
U2,lb20sm3,3,500,0.11096832115314478,1058,0.10221704407698731,0.08600012314132514
U2,lb20sm3,3,1000,0.12393171804883762,1058,0.13055024650215458,0.1121329268662999
U2,lb20sm3,3,blend,0.11855666710733735,1058,0.11838856618987002,0.10054799567361242
U2,lb20sm3,5,500,0.12789601032578202,634,0.13730575751525453,0.11754245632270091
U2,lb20sm3,5,1000,0.14675768496653677,634,0.16174074380688488,0.12642819015298207
U2,lb20sm3,5,blend,0.13806171074824106,634,0.15026613229185437,0.12278208858966269
U2,lb20sm3,10,500,0.17847480561047935,316,0.16688316800503858,0.16143256784308765
U2,lb20sm3,10,1000,0.17778988816946167,316,0.16635962840497556,0.1862369806072292
U2,lb20sm3,10,blend,0.17840064742003048,316,0.16356872933396313,0.17823647484629607
U2,lb20sm3,20,500,0.1936411166033032,157,0.28497009453984185,0.19314895630685103
U2,lb20sm3,20,1000,0.18487152611961125,157,0.26133513409222464,0.23521215626478784
U2,lb20sm3,20,blend,0.19279454722492698,157,0.2826226766994663,0.23034859876965136
