lookback,z_window,smoothing,sharpe_train_14_20,sharpe_val_21_23,sharpe_holdout_24_26
5,10,0,-0.43118404676461725,-0.6484283335577747,0.28516943457514077
5,10,5,-0.48867560776228736,-0.535487859101736,-0.4653489142303095
5,15,0,-0.7232639950353401,-0.40572261562167655,0.7395498482935703
5,15,5,-0.3507536796538328,-1.4654529667046818,-0.46239803541660307
5,25,0,-0.5681373054471808,-0.8683107465218064,0.4221556603982308
5,25,5,-0.37064639281881023,-0.3351589138159049,-0.8258386680079328
5,250,0,0.10819653639778248,0.47863412063790917,0.11242802294123573
5,250,5,0.45645289605065503,0.2796599448837765,0.35153989129971075
10,20,0,0.21698816688752348,-0.6595920409106635,-0.6698988700159084
10,20,5,0.019708978041445904,-0.42363806851836205,0.4871198602328371
10,30,0,0.42849219818420203,0.12889652089794404,-0.7578947608029586
10,30,5,0.665365574673338,0.5326746316559677,0.39769198975999515
10,50,0,0.6417940914655476,0.7448818872168436,0.17933812620122008
10,50,5,1.1140491578019054,1.306041220353844,0.2749429148151275
10,250,0,0.8541324822815823,1.4482453524266945,0.22424227106527592
10,250,5,0.8786524412276161,0.564054495747526,0.17337234287099187
20,40,0,1.0400363494028264,1.298600118622568,1.1254533378447353
20,40,5,1.3233382063837371,1.2678544277804065,1.6922495234271808
20,60,0,1.276873466457214,1.1846427295705608,0.9837723005676784
20,60,5,1.3135859319794836,0.9987469014831175,0.9970227650342242
20,100,0,1.6370827244822053,1.6484152476845495,1.0732481009463604
20,100,5,0.8855533918873203,1.5752302883098,0.9293393922957127
20,250,0,1.4875213292316087,1.6981649901654725,0.9262638851966952
20,250,5,1.041831041497429,1.1240665466188338,0.8788094354633715
40,80,0,0.7871116841394507,1.596117585156927,0.9167229147575062
40,80,5,0.6564801571177683,1.4534820019449317,0.8260325452916313
40,120,0,0.7392793298409368,1.2299773186673753,0.8915097782544446
40,120,5,0.3290769758669107,0.78583246119198,0.42926562892005415
40,200,0,0.4849868081328671,1.2433340679858629,1.0424336770739724
40,200,5,0.11104485620173218,0.871967372614443,0.730410612717869
40,250,0,0.6138969199358321,0.7468278225125288,1.2902160355674377
40,250,5,0.3457338314839894,0.884960445609876,0.5695276071793163
60,120,0,0.7720314688109426,0.40340564838646936,0.16900418631360753
60,120,5,0.5838476881053992,0.3565837442050772,-0.405087847750976
60,180,0,0.6554592606958076,0.11468759641625216,-0.4022794641521154
60,180,5,0.48007126739808204,-0.034006470480923416,-0.3556170404244197
60,300,0,0.661138019366946,0.21088265251087276,0.035944300576904495
60,300,5,0.7385772107419001,0.2048846855139693,-0.19798720124394636
60,250,0,0.9315348283978777,0.4142318414720517,0.0994777194971242
60,250,5,0.7250194070605512,0.3403238726572935,-0.43811968449288974
