signal_file,signal_column,start_date,end_date,rows,index,strategy,open_long,close_long,open_short,close_short,ann_ret,ann_vol,sharpe,max_drawdown,calmar,daily_win_rate,trade_win_rate,n_trades,trade_segments,long_days,flat_days,short_days,total_return
latest_equal_weight_signal_5d_20z/equal_weight_signal_contrast.csv,factor_value,2014-01-02,2026-06-18,3028,中证1000,四阈值单指数最优,0.75,-0.65,-0.7,0.45,0.1723247158437593,0.18425835191777634,0.9540493174313992,-0.24297870271186728,0.7092173672855108,0.22192866578599735,0.5283018867924528,105,53,806,1749,473,6.130075231717186
latest_equal_weight_signal_5d_20z/equal_weight_signal_contrast.csv,factor_value,2014-01-02,2026-06-18,3028,中证1000,买入持有,,,,,0.054105315751114436,0.267002559168555,0.331905067727076,-0.7234872372733582,0.07478406385581007,0.5432628797886394,,1,1,3027,0,0,0.9174948122039936
latest_equal_weight_signal_5d_20z/equal_weight_signal_contrast.csv,factor_value,2014-01-02,2026-06-18,3028,中证500,四阈值单指数最优,0.7,-0.7,-0.7,0.45,0.17589011525332765,0.19020172147995865,0.9463719053112303,-0.42794503384911176,0.41101099753699766,0.3259577278731836,0.5,111,56,1421,1134,473,6.402667591816208
latest_equal_weight_signal_5d_20z/equal_weight_signal_contrast.csv,factor_value,2014-01-02,2026-06-18,3028,中证500,买入持有,,,,,0.06753076417886072,0.24614306041669864,0.38944580889680364,-0.6519574332360292,0.10358155415709856,0.5326948480845443,,1,1,3027,0,0,1.2420367688277194
latest_equal_weight_signal_5d_20z/equal_weight_signal_contrast.csv,factor_value,2014-01-02,2026-06-18,3028,沪深300,四阈值单指数最优,0.6,-0.65,-0.8,-0.3,0.13490785810784267,0.16943951152275893,0.8317756861830012,-0.28820729250106714,0.4680931455172778,0.3428005284015852,0.6226415094339622,105,53,1930,1043,55,3.7757750164120916
latest_equal_weight_signal_5d_20z/equal_weight_signal_contrast.csv,factor_value,2014-01-02,2026-06-18,3028,沪深300,买入持有,,,,,0.06285929605875928,0.21020773694916553,0.3955805917291332,-0.46696135102286174,0.1346134876496059,0.5161822985468957,,1,1,3027,0,0,1.1237867456108503
latest_equal_weight_signal_5d_20z/equal_weight_signal_contrast.csv,factor_value,2014-01-02,2026-06-18,3028,中证1000,四阈值统一阈值,0.7,-0.65,-0.7,0.45,0.18119157026656096,0.19734054284877783,0.9417150369791442,-0.38730585291390085,0.4678255412443776,0.29095112285336855,0.4918032786885246,121,61,1193,1362,473,6.825735528179062
latest_equal_weight_signal_5d_20z/equal_weight_signal_contrast.csv,factor_value,2014-01-02,2026-06-18,3028,中证500,四阈值统一阈值,0.7,-0.65,-0.7,0.45,0.16090954858420603,0.18043050860322302,0.9164665717058541,-0.3302362947782215,0.487255795709157,0.2820343461030383,0.4918032786885246,121,61,1193,1362,473,5.318160266242672
latest_equal_weight_signal_5d_20z/equal_weight_signal_contrast.csv,factor_value,2014-01-02,2026-06-18,3028,沪深300,四阈值统一阈值,0.7,-0.65,-0.7,0.45,0.11646805335400656,0.1585322520480554,0.7737790153345738,-0.2948422194505397,0.3950182357569191,0.28269484808454426,0.47540983606557374,121,61,1193,1362,473,2.900730329051652
