universe,block,target,beta_style,beta_rotation,r2_full,r2_style_only,r2_rotation_only,n,signal,ic_monthly_pearson,ic_monthly_spearman,n_months,ic_d5_spearman,ic_d10_spearman,ic_d20_spearman
U2,variance,300pair,0.7738281567687488,0.6237567161945666,0.4434537036422077,0.3907002102787892,0.3393021821712815,3027.0,,,,,,,
U2,variance,500pair,0.6935205542223163,0.7424854099429824,0.6242251899652513,0.5222121069413681,0.5100545312081495,3027.0,,,,,,,
U2,variance,1000pair,0.9122827372828896,1.0405931042443557,0.7620640571044217,0.6292517231627988,0.6311183565235763,3027.0,,,,,,,
U2,variance,2000pair,0.5232776076337758,0.7926749822819603,0.6597311473002281,0.5108658307306515,0.5765119866126571,3027.0,,,,,,,
U2,variance,blend,0.7257272639769328,0.7998775531659665,0.77160435110512,0.6416923181869992,0.6344198507563426,3027.0,,,,,,,
U2,ic,blend,,,,,,,v1_mixed,0.10360652126196196,0.1263304915653909,149.0,0.11848965925353883,0.1377629372301153,0.07901899309024402
U2,ic,500pair,,,,,,,v1_mixed,0.06862984811195687,0.07333212407037912,149.0,0.07482658747399461,0.07203672179995535,0.0029739152019532173
U2,ic,1000pair,,,,,,,v1_mixed,0.08256522691872108,0.09195719209142028,149.0,0.10183270515909683,0.10533281742346262,0.05449043564972595
U2,ic,blend,,,,,,,v2_pure_style,0.15183169409686012,0.1792599310720116,149.0,0.12157231375990424,0.14415167588693836,0.0899078233905008
U2,ic,500pair,,,,,,,v2_pure_style,0.10697678071813282,0.12177761654271722,149.0,0.07963635003089295,0.0854926673031883,0.019033297473997516
U2,ic,1000pair,,,,,,,v2_pure_style,0.126700568662197,0.139941955378197,149.0,0.09947536452536773,0.10985576025642055,0.06459949566793434
U2,ic,blend,,,,,,,rotation,0.03565551799763907,0.05032831489207329,149.0,0.09964798693387578,0.11261400726359116,0.05666524467921983
U2,ic,500pair,,,,,,,rotation,0.011246573445621237,0.0052276437511336845,149.0,0.06264378690812167,0.04886614729235142,-0.01389635899538723
U2,ic,1000pair,,,,,,,rotation,0.01871416171870189,0.01968075458008344,149.0,0.0801020037259509,0.07389731020746751,0.02299371779122874
